Race Date,Race Discipline,Race Category,Race Gender,Race Class,Age,Rider Place,Rider License #,First name,Last name,Time,Team
2022-09-11,CX,Men 5,Men,,9-99,1,527308,Nathan,Gross,,
2022-09-11,CX,Men 5,Men,,9-99,2,639827,Brian,McNely,,
2022-09-11,CX,Men 5,Men,,9-99,3,624464,Kevin,Peterson,,K&G Bike Center
2022-09-11,CX,Men 5,Men,,9-99,4,601057,Michael,Tamaddoni,,Midwest Devo Support Crew
2022-09-11,CX,Men 5,Men,,9-99,5,641412,Jeffrey,Accursi,,
2022-09-11,CX,Men 5,Men,,9-99,6,646409,Brian,Campbell,,Licking Valley Velo
2022-09-11,CX,Men 5,Men,,9-99,7,645704,Riley,Van Vliet,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,8,625612,Adam,Shaw,,Vacation
2022-09-11,CX,Men 5,Men,,9-99,9,416738,Jeffrey,Parmelee,,Bike Line Indianapolis
2022-09-11,CX,Men 5,Men,,9-99,10,612602,Kurt,Koelling,,Summit Freewheelers
2022-09-11,CX,Men 5,Men,,9-99,11,588344,Danny,Offill,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,12,600458,Philip,Pryor,,Midwest Devo Support Crew
2022-09-11,CX,Men 5,Men,,9-99,13,602104,Andrew,Alvarado,,Midwest Devo Support Crew
2022-09-11,CX,Men 5,Men,,9-99,14,645340,Michael,Dandenault,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,15,601058,Rob,Proctor,,
2022-09-11,CX,Men 5,Men,,9-99,16,466602,Jason,Wilber,,Columbus Cycling and Fitness
2022-09-11,CX,Men 5,Men,,9-99,17,612182,Seamus,Silliman,,The Post Racing
2022-09-11,CX,Men 5,Men,,9-99,18,587416,Eduard,Ryba,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,19,0,Terry,Timko,,LetsNotDNF
2022-09-11,CX,Men 5,Men,,9-99,20,639078,Harley,Rogers,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,21,0,Jered,Raflik,,
2022-09-11,CX,Men 5,Men,,9-99,22,0,John,Crane,,
2022-09-11,CX,Men 5,Men,,9-99,23,0,Eric,Flamme,,Mud City Racers
2022-09-11,CX,Men 5,Men,,9-99,24,0,Tim,Smith,,Optimists
2022-09-11,CX,Men 5,Men,,9-99,25,0,Jason,Jordan,,
2022-09-11,CX,Men 5,Men,,9-99,26,0,Dan,Lewis,,The Optimists
2022-09-11,CX,Men 5,Men,,9-99,27,623562,Grant,Brueshaber,,
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,1,588340,Tracey,Minor,,The Optimists
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,2,400193,Tracy,Berman,,Ann Arbor Velo Club
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,3,377857,Kristen,McMahon,,Licking Valley Velo
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,4,644139,Erica,Minner,,
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,5,188644,Melissa,Kurzhals,,Queen City Wheels
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,6,586601,Kristen,Schulz,,The Optimists
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,7,287605,Julie,Herrmann,,
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,8,535972,Beth,Atchison,,Qwik Fix
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,9,543719,Sara,Tellez,,Lionhearts Junior Racing
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,10,645846,Kimberly,Krimpenfort,,
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,11,0,Jenny,Dandenault,,The Optimists
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,12,274282,Karen,Wells-Hamilton,,Team Dayton Cycling
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,13,474658,Michelle,Dyas,,Women In Motion
2022-09-11,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,14,0,Nancy,Demler,,The Optimists
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,1,518826,Jack,Helvie,,Male
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,2,417697,Marc,Jurewicz,,ZWS / Brilliant Advice
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,3,594672,Paul,Reidy,,Oxford Area Cycling
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,4,611443,Jude,Serrani,,Fort Wayne Outfitters and Bike Depot
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,5,564487,Levi,Hall,,Fort Wayne Outfitters and Bike Depot
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,6,403771,Luke,Manning,,Kreitler Racing Team
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,7,587392,Evan,Wallis,,Al Dente
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,8,0,William,Repenning,,
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,9,591358,bryan,gehrum,,Queen City Wheels
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,10,456953,steve,cook,,Queen City Wheels
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,11,556547,Michael,Liechty,,
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,12,456428,Will,Smotherman,,Al Dente
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,13,625614,Aidan,Strasser,,Vacation Cycle Supply Co.
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,14,542329,Dustin,Lansing,,
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,15,220483,Phil,Gardner,,The Post Racing
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,16,536557,Derek,Groves,,Dash Racing
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,17,0,Graham,Ice,,
2022-09-11,CX,Men 4 | Men 15-18 | Men 4 40+,Men,,9-99,18,9932,John,Downey,,The Optimists
