Race Date,Race Discipline,Race Category,Race Gender,Race Class,Age,Rider Place,Rider License #,First name,Last name,Time,Team
2022-09-25,CX,Men 5,Men,,9-99,1,0,Aaron,Elam,,
2022-09-25,CX,Men 5,Men,,9-99,2,646409,Brian,Campbell,,Soundpony Triad Bank
2022-09-25,CX,Men 5,Men,,9-99,3,624464,Kevin,Peterson,,UCI CTM: TRINITY RACING
2022-09-25,CX,Men 5,Men,,9-99,4,641412,Jeffrey,Accursi,,Phase Cycling
2022-09-25,CX,Men 5,Men,,9-99,5,646318,Kyle,Carey,,
2022-09-25,CX,Men 5,Men,,9-99,6,612602,Kurt,Koelling,,
2022-09-25,CX,Men 5,Men,,9-99,7,638912,Aaron,Conway,,
2022-09-25,CX,Men 5,Men,,9-99,8,0,Samuel,Phillips,,
2022-09-25,CX,Men 5,Men,,9-99,9,648765,David,Hodgson,,
2022-09-25,CX,Men 5,Men,,9-99,10,555677,Aubrey,Freeman,,
2022-09-25,CX,Men 5,Men,,9-99,11,602104,Andrew,Alvarado,,
2022-09-25,CX,Men 5,Men,,9-99,12,600458,Philip,Pryor,,
2022-09-25,CX,Men 5,Men,,9-99,13,614822,Nathan,Wiczer,,
2022-09-25,CX,Men 5,Men,,9-99,14,645340,Michael,Dandenault,,
2022-09-25,CX,Men 5,Men,,9-99,15,623644,Nate,Perry,,University of Utah
2022-09-25,CX,Men 5,Men,,9-99,16,0,Shawn,McKitrick,,
2022-09-25,CX,Men 5,Men,,9-99,17,587416,Eduard,Ryba,,
2022-09-25,CX,Men 5,Men,,9-99,18,0,Kevin,Sintz,,
2022-09-25,CX,Men 5,Men,,9-99,19,645704,Riley,Van Vliet,,KMS Cycling-Killington Mountain School
2022-09-25,CX,Men 5,Men,,9-99,20,142571,Jason,Jordan,,Middlebury College
2022-09-25,CX,Men 5,Men,,9-99,21,0,Dan,Lewis,,
2022-09-25,CX,Men 5,Men,,9-99,22,638713,Karlou,Jones,,
2022-09-25,CX,Men 5,Men,,9-99,23,412861,Matthew,Neal,,
2022-09-25,CX,Men 5,Men,,9-99,24,179273,Anthony,Bellipanni,,
2022-09-25,CX,Men 5,Men,,9-99,DNF,639078,Harley,Rogers,,
2022-09-25,CX,Men 5,Men,,9-99,DNF,571984,Morten,Kristiansen,,
2022-09-25,CX,Men 5,Men,,9-99,DNF,639827,Brian,McNely,,
2022-09-25,CX,Men 5,Men,,9-99,DNF,623067,Paul,Rogers,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,1,400193,Tracy,Berman,,Ann Arbor Velo Club Inc.
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,2,549234,Tayllor,Allen,,Lady Gnar Shredders
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,3,558359,Lexie,Blalock,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,4,644139,Erica,Minner,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,5,188644,Melissa,Kurzhals,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,6,586601,Kristen,Schulz,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,7,535972,Beth,Atchison,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,8,287605,Julie,Herrmann,,Cincinnati Cyclocross
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,9,545382,Julie,Nemecek,,
2022-09-25,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,10,624177,Fulya,Doslovich,,
