Race Date,Race Discipline,Race Category,Race Gender,Race Class,Age,Rider Place,Rider License #,First name,Last name,Time,Team
2021-10-30,CX,Men 5,Men,,9-99,1,0,Justin,BRINN,,
2021-10-30,CX,Men 5,Men,,9-99,2,0,Kevin,WAGNER,,Ronin Velosport
2021-10-30,CX,Men 5,Men,,9-99,3,441929,Thomas,PETERS,,Team Ice
2021-10-30,CX,Men 5,Men,,9-99,4,556547,Michael,LIECHTY,,
2021-10-30,CX,Men 5,Men,,9-99,5,600900,Joe,MERCER,,Midwest Devo Support Crew
2021-10-30,CX,Men 5,Men,,9-99,6,527308,Nathan,GROSS,,Lft
2021-10-30,CX,Men 5,Men,,9-99,7,616288,Andrew,GEORGE,,
2021-10-30,CX,Men 5,Men,,9-99,8,535746,Alex,TEBBE,,Midwest Devo
2021-10-30,CX,Men 5,Men,,9-99,9,0,Kyle,CAREY,,
2021-10-30,CX,Men 5,Men,,9-99,10,607913,Reece,LADY,,
2021-10-30,CX,Men 5,Men,,9-99,11,539582,Alan,CLEMENTS,,Midwest Devo Support Crew
2021-10-30,CX,Men 5,Men,,9-99,12,0,James,NORDLOH,,Sram
2021-10-30,CX,Men 5,Men,,9-99,13,416738,Jeffrey,PARMELEE,,Ronin Velosport
2021-10-30,CX,Men 5,Men,,9-99,14,0,Brett,YOCKEY,,
2021-10-30,CX,Men 5,Men,,9-99,15,612182,Seamus,SILLIMAN,,The Post Racing
2021-10-30,CX,Men 5,Men,,9-99,16,601057,Michael,TAMADDONI,,Midwest Devo Support Crew
2021-10-30,CX,Men 5,Men,,9-99,17,600458,Philip,PRYOR,,Midwest Devo Support Crew
2021-10-30,CX,Men 5,Men,,9-99,18,602104,Andrew,ALVARADO,,Midwest Devo Support Crew
2021-10-30,CX,Men 5,Men,,9-99,19,564458,Johnny,BALDING,,Ronin Velosport
2021-10-30,CX,Men 5,Men,,9-99,20,457572,Timothy,BANKS,,Ronin Velosport
2021-10-30,CX,Men 5,Men,,9-99,21,625686,Ryan,DOAN,,Vacation
2021-10-30,CX,Men 5,Men,,9-99,22,601058,Rob,PROCTOR,,
2021-10-30,CX,Men 5,Men,,9-99,23,492677,Eric,BOWMASTER,,
2021-10-30,CX,Men 5,Men,,9-99,24,323510,Vince,BALLOU,,Fitness Lab
2021-10-30,CX,Men 5,Men,,9-99,25,0,Gerraldo,BOCADO,,On Your Left Cycles
2021-10-30,CX,Men 5,Men,,9-99,26,0,Michael,BERG,,Na
2021-10-30,CX,Men 5,Men,,9-99,27,620274,Oscar,MATHIS,,
2021-10-30,CX,Men 5,Men,,9-99,28,0,Owen,FROST,,University Of Cincinnati Cyclin
2021-10-30,CX,Men 5,Men,,9-99,DNF,0,Daniel,O,,
2021-10-30,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,1,623542,Amy,RUIZ,,Native Development
2021-10-30,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,2,400193,Tracy,BERMAN,,Ann Arbor Velo Club
2021-10-30,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,3,508143,Brooklyn,RADDIN,,Lionhearts Junior Racing
2021-10-30,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,4,536570,Elizabeth,STEVENSON,,Marian University
2021-10-30,CX,Women SS | Women 4/5 | Women 15-18 | Women 4/5 40+,Women,,9-99,5,561401,Lauren,FITZPATRICK,,
